"","Cat","E_coord","N_coord","Вид","КБЕ","РЕ","КРЕ","Праистория","Неолит","Халколит","Бронз","Раннобронзова","Желязна","Ранножелязна","Късножелязна","Елинизъм","Късноантична","СредновековиеXIV","СредновековиеXVII","Ранноср.","Зрялоср.","КСр."
"65",788,25.81644272,42.66949936,"Бани",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"66",790,25.819801,42.664853,"Селище",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"67",791,25.804586,42.644302,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",795,25.789826,42.65142,"Селище",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
"69",801,25.792479,42.661803,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1
"70",802,25.789113,42.668675,"Манастир",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
"71",808,25.7525,42.686111,"Крепост",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"72",811,25.678704,42.681477,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",812,25.74147,42.662335,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"74",813,25.734124,42.672656,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1
"75",821,25.470704,42.679654,"Крепост",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"76",827,25.451811,42.652939,"Селище",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"77",838,25.451153,42.647829,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,1
"78",844,25.25308892,42.62209469,"Селище",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"79",846,25.27612181,42.63200797,"Селище",0,0,1,0,0,0,0,0,4,2,2,1,1,0,0,0,0,0
"80",858,25.202385,42.635473,"Единична постройка",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",861,25.277278,42.627675,"Селище",0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0
